algorithm ,lb ,tr_size ,n_poison ,poison_fraction ,c ,val_acc ,test_acc ,time
beta_poison_attack,1,300,0,0.0,1,0.7233333333333334,0.765,0.14695382118225098
beta_poison_attack,1,300,60,0.16666666666666666,1,0.52,0.67,4.761750936508179
beta_poison_attack,1,300,60,0.16666666666666666,1,0.5266666666666666,0.66,4.601373910903931
beta_poison_attack,1,300,61,0.16897506925207756,1,0.5366666666666666,0.675,4.4285359382629395
beta_poison_attack,1,300,62,0.1712707182320442,1,0.5233333333333333,0.65,4.496083974838257
beta_poison_attack,1,300,63,0.17355371900826447,1,0.52,0.695,4.978602886199951
beta_poison_attack,1,300,63,0.17355371900826447,1,0.5366666666666666,0.685,4.49587869644165
beta_poison_attack,1,300,64,0.17582417582417584,1,0.5066666666666667,0.655,6.242832899093628
beta_poison_attack,1,300,65,0.1780821917808219,1,0.5166666666666667,0.68,4.683049917221069
beta_poison_attack,1,300,66,0.18032786885245902,1,0.5233333333333333,0.685,5.191411972045898
beta_poison_attack,1,300,67,0.18256130790190736,1,0.5133333333333333,0.665,4.6929521560668945
beta_poison_attack,1,300,67,0.18256130790190736,1,0.5166666666666667,0.66,4.96110200881958
beta_poison_attack,1,300,68,0.18478260869565216,1,0.52,0.68,5.288660049438477
beta_poison_attack,1,300,69,0.18699186991869918,1,0.5233333333333333,0.685,5.05181097984314
beta_poison_attack,1,300,70,0.1891891891891892,1,0.5,0.655,6.159649133682251
beta_poison_attack,1,300,71,0.19137466307277629,1,0.5033333333333333,0.65,6.013060808181763
beta_poison_attack,1,300,71,0.19137466307277629,1,0.5166666666666667,0.685,5.252223968505859
beta_poison_attack,1,300,72,0.1935483870967742,1,0.5,0.65,5.171907186508179
beta_poison_attack,1,300,73,0.19571045576407506,1,0.5033333333333333,0.665,5.984394073486328
beta_poison_attack,1,300,74,0.19786096256684493,1,0.51,0.665,5.878716230392456
beta_poison_attack,1,300,75,0.2,1,0.53,0.67,5.822880744934082
